station_a,station_b,distance_km
Anschluss_Voest_Alpine_Linz_I,Grenze_OBB_-_Voest_Anschluss_I,0.7108528561046846
Korneuburg,Ust_Ko_1,2.6973497769877475
Korneuburg,Sbl F 2 [BSTS_ID=5153560],2.8709928500337294
AB_-_Ko_A2,Korneuburg,1.829870257950043
Korneuburg,Sbl J 2 [BSTS_ID=5153560],2.8574110599985616
AB_-_Ko_A1,Korneuburg,1.7646120929561604
Leobendorf-Burg_Kreuzenstein,Ust_Ko_1,0.44135523319783715
Villach_Sud_Gvbf-Auen,Villach_Warmbad,1.0028332777953317
Villach_Warmbad,Villach_Westbf,2.474915766415523
Villach_Sud_Gvbf,Villach_Sud_Gvbf-Auen,1.228769809567989
Godersdorf,Villach_Sud_Gvbf-Auen,1.693488808346454
Villach_Sud_Gvbf-Auen,Villach_Sud_Gvbf-Ausfgr,1.482843506906776
AB__-_Gld_A2,AB__-_Gld_A2A,0.6517767798505998
AB__-_Gld_A1,AB__-_Gld_A2A,0.1339112627939899
AB__-_Gld_A2,AB__-_Gld_A3,0.23497002282953247
Durnkrut,Stillfried,6.716160767753749
Angern,Stillfried,3.3863802904040807
Durnkrut,Jedenspeigen,3.0445573419204712
Klagenfurt_Fbf,Klagenfurt_Hbf,0.875117090362271
Klagenfurt_Ebenthal,Klagenfurt_Fbf,0.6764207357194326
Klagenfurt_Hbf,Klagenfurt_Sud,1.007860402790308
Klagenfurt_Hbf,Klagenfurt_Lend,2.3934449214822893
Klagenfurt_Hbf,Klagenfurt_Ostbf,0.931733179805005
Dornbirn-Schoren,Hatlerdorf,1.7435552148348294
Abzw_Hos_1,Hatlerdorf,0.6689547123162828
Dornbirn,Dornbirn-Schoren,1.091484557720057
AB__-_H_A1,Ust_H_2,1.2107980755263918
Rum,Ust_H_2,1.117110558001839
AB__-_H_A1,Sbl H 3 [BSTS_ID=759],0.47418946966178593
Strasshof,Strasshof_Haltestelle,0.7564478629926059
Sbl Wg 2 [BSTS_ID=4728661],Strasshof_Haltestelle,1.7065904176173081
Sbl Str 1 [BSTS_ID=2127],Strasshof,2.474503446408061
AB__-_Mh_A1,Abzw_Mh_1,0.047903179777188075
AB__-_Mh_A1,AB__-_Mh_A1A,2.1356172319540496
Abzw_Mh_1,Abzw_Sv_11,0.6480534495014556
Abzw_Mh_1,Eco_Plus,0.7450560993831699
Abzw_Mh_1,St.Valentin-Ennskanalbrucke,1.6970845476884342
Abzww_Villach_Sud_Gvbf-Ost,Furnitz,3.117788176575516
Abzww_Villach_Sud_Gvbf-Ost,Villach_Sud_Gvbf-Ausfgr,2.2364989632464916
Abzww_Villach_Sud_Gvbf-Ost,Godersdorf,0.4616430312239114
Abzww_Villach_Sud_Gvbf-Ost,Finkenstein,1.1347926462042768
Furnitz,Villach_Sud_Gvbf-Einfgr,0.9372731511897265
Furnitz,Villach_Sud_Gvbf-Ausfgr,0.9613988118292986
