station_a,station_b,distance_km
Beverlo,Leopoldsburg,3.561500855617804
Beringen,Beringen-Mijn,2.926950808138145
Gedinne,Graide,7.315839354110891
Gedinne,Gedinne-Marchandises,0.12973131950930508
Carlsbourg,Graide,5.108987392852731
Y.Eivoorde,Y.Pelikaan,0.558414042833472
Heist,Y.Pelikaan,5.517591916118558
Y.Boudewijnkanaal,Y.Pelikaan,1.8002801046699395
Marchienne-au-Pont,Monceau-Formation,1.5794427448181807
Monceau-Formation,Y.Martinet,1.2643027541308198
Monceau-Formation,Monceau-Gril_F,0.6422844578735929
Marchienne-au-Pont,Y.La_Sambre,0.7729701164475123
Marchienne-au-Pont,Monceau-Gril_F,2.218969237533491
Marchienne-au-Pont,Y.Martinet,0.35338427767771624
Marchienne-au-Pont,Roux,3.4412497932841575
Marchienne-au-Pont,Y.Nord,1.624197144336878
Hermalle-sous-Huy,Racc.Dumont-Wauthier,1.019018292429105
Engis,Hermalle-sous-Huy,2.005868863238315
Haute-Flone,Racc.Dumont-Wauthier,2.9220140968095163
Ham,Tessenderlo,3.437398569197079
Tessenderlo,Y.Diest,8.577218211879872
Ham,Ham-Doodspoor,1.369319623250489
Amay,Haute-Flone,1.191073194269067
Amay,Ampsin,2.358761329457607
Auvelais,Tamines,2.4494415219435832
Auvelais,Fleurus,7.152364650086136
Auvelais,Racc.Somei,0.06609825093608276
Auvelais,Jemeppe-sur-Sambre-Marchandise,1.929592207652637
Aisemont,Tamines,3.3903128947893117
Aiseau,Tamines,1.7570875736927234
Y.Geslecht-Oost,Y.Geslecht-West,0.4273957236620121
Verb.Halterman,Y.Geslecht-Oost,0.7595324592000648
Y.Geslecht-Oost,Y.Geslecht-Zuid,0.31318992031493825
Verb.Liefkenshoek_Logistic_Hub,Y.Geslecht-Oost,0.06863940649932372
Verb.Ashland,Y.Geslecht-West,0.8001345923739432
Y.Geslecht-West,Y.Kalishoek-Oost,0.23118266794460796
Bellem,Hansbeke,3.713593145096554
Hansbeke,Landegem-Rooster_G/H/L,1.4605743099754886
Bellem,Y.Bellem,0.7129434789566415
Lier,Lier-Rooster_D/E,0.23783888836570388
Lier,Lier-Rooster_C/G,0.20348365731747162
Bracquegnies,Thieu,2.0413880946708516
Bracquegnies,Y.La_Paix,2.476667522042599
Havre,Thieu,2.848994718838321
Bockstael_Bockstael,Y.Bockstael_Y.Bockstael,0.45099793698876206
Bockstael_Bockstael,Y.Laeken_Y.Laken,0.34740053784361147
Y.Bockstael_Y.Bockstael,Y.Pannenhuis_Y.Pannenhuis,0.6123088032823395
Jette_Jette,Y.Bockstael_Y.Bockstael,0.9993033610379751
Forest-Midi_Vorst-Zuid,Ligne_96-Bypass_Lijn_96-Bypass,2.3225932369338573
Forest-Midi_Vorst-Zuid,Y.Bruxelles-Petite-Ile_Y.Brussel-Klein-Eiland,1.6156299318065754
